"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer","ManufacturerPartNumber"
"C1,C2","2","10 µF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","Panasonic","EEU-FC1C100"
"C3,C4","2","100 nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","KEMET","C0805C104K5RACTU"
"D1,D2","2","LED","","","","LED_THT:LED_D5.0mm","~","Kingbright","Kingbright WP710A10ID/LID"
"D3","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","Vishay","1N4007"
"J1","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","Phoenix","Phoenix Contact"
"J2","1","Screw_Terminal_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","Phoenix","Phoenix Contact"
"K1","1","Relay_SPDT","","","","Relay_THT:Relay_SPDT_CUI_SR5","~","Songle Relay","SRD-05VDC-SL-C"
"Q1","1","BC547","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","ON Semiconductor","BC547C"
"R1","1","Senzor vlage","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","DIY",""
"R2,R3,R4","3","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","Yageo","CFR-25JB-52-10K"
"R5","1","2.2 k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","Yageo","CFR-25JB-52-2K2"
"R6","1","680k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","Yageo","CFR-25JB-52-680K"
"RV1","1","10k","","","","Potentiometer_THT:Potentiometer_ACP_CA9-H5_Horizontal","~","Bourns","PTV09A-4020F-B103"
"U1","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Texas Instruments","LM7805CT"
"U2","1","LM393","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","-"," LM393Pv"
